Function,Trace,Calls [#],Callees [#],Callees Mean [#],Total Inclusive T [ms],Total Inclusive T [%],Total Exclusive T [ms],Total Exclusive T [%],Total Morestack T [ms],Total Morestack T [%],I Mean,E Mean,I Std,E Std,I Min,E Min,I 10%,E 10%,I 25%,E 25%,I 50%,E 50%,I 75%,E 75%,I 90%,E 90%,I Max,E Max
main.main,,1,4,4.0,10358.805258,1.0,10341.895331,0.9983675794091272,0.0,0.0,10358.805258,10341.895331,,,10358.805258,10341.895331,10358.805258,10341.895331,10358.805258,10341.895331,10358.805258,10341.895331,10358.805258,10341.895331,10358.805258,10341.895331,10358.805258,10341.895331
main.main.func1,,1,10,10.0,10353.998765,0.9995359992894656,10133.23223,0.9782240304377001,0.0,0.0,10353.998765,10133.23223,,,10353.998765,10133.23223,10353.998765,10133.23223,10353.998765,10133.23223,10353.998765,10133.23223,10353.998765,10133.23223,10353.998765,10133.23223,10353.998765,10133.23223
main.main.func2,,1,5,5.0,5278.910962,0.5096061592550116,5098.420218,0.4921822633997817,0.0,0.0,5278.910962,5098.420218,,,5278.910962,5098.420218,5278.910962,5098.420218,5278.910962,5098.420218,5278.910962,5098.420218,5278.910962,5098.420218,5278.910962,5098.420218,5278.910962,5098.420218
main.Greet,main.main.func1,10,30,3.0,220.766535,0.021311968851765433,116.190006,0.011216545065394259,0.0,0.0,22.0766535,11.6190006,20.969536526336118,15.118660051795905,5.260227,1.490825,5.432207099999999,1.7590006999999999,6.8996045,3.210635,12.4499205,4.4317585,37.184485,17.20398975,49.9881227,24.091911699999986,61.403081,49.111378
main.add,main.main.func2 -> main.Greet,5,10,2.0,86.00083,0.008302195847690295,58.584264,0.005655503944796719,4.935407,0.00047644558200265764,17.200166,11.716852800000002,16.498591672324412,10.814669516486656,3.035128,1.475668,4.710193599999999,1.9181363999999999,7.222792,2.581839,11.432639,9.482636,19.74443,17.994301,34.6372766,23.4276124,44.565841,27.04982
main.getGoroutineID,main.main.func2 -> main.Greet,5,0,0.0,43.860122,0.004234090795956153,43.860122,0.004234090795956153,0.0,0.0,8.772024400000001,8.772024400000001,14.241801174352942,14.241801174352942,1.132265,1.132265,1.6588406,1.6588406,2.448704,2.448704,2.699157,2.699157,3.373027,3.373027,21.8733922,21.8733922,34.206969,34.206969
main.add,main.main.func1 -> main.Greet,10,20,2.0,77.055414,0.007438639117237086,40.648754,0.003924077438236169,0.0,0.0,7.7055414,4.0648754,7.335250425039856,3.431757013471386,2.202658,1.091328,2.7386395,1.134816,2.8472765,1.345106,4.212248,2.793029,10.8069675,6.47849775,15.431291499999997,8.8895083,24.781918,10.158853
main.Greet,main.main.func2,5,15,3.0,180.490744,0.01742389585522991,38.516053,0.0037181945254018984,0.0,0.0,36.0981488,7.703210599999999,24.114243332562783,3.883995884715739,9.690743,3.209203,11.1221026,3.4414286,13.269142,3.789767,38.690859,9.789795,56.877102,10.363625,59.9285796,10.9636478,61.962898,11.363663
main.getGoroutineID,main.main.func1 -> main.Greet -> main.add,10,0,0.0,25.697324,0.002480722762903011,25.697324,0.002480722762903011,0.0,0.0,2.5697324,2.5697324,3.975228061222713,3.975228061222713,0.480419,0.480419,0.49491890000000005,0.49491890000000005,0.6839645,0.6839645,1.2180495,1.2180495,2.2477565,2.2477565,3.8755811999999965,3.8755811999999965,13.64331,13.64331
main.getGoroutineID,main.main.func1 -> main.Greet,10,0,0.0,16.338131,0.0015772215610851674,16.338131,0.0015772215610851674,2.642983,0.0002551436130106656,1.6338131,1.6338131,1.403526886028626,1.403526886028626,0.455359,0.455359,0.515542,0.515542,0.58219225,0.58219225,0.9955345,0.9955345,2.37003725,2.37003725,3.1613409999999997,3.1613409999999997,4.695643,4.695643
